"bic","model_n","delta_bic","coef"
-8.1976282665831,11,0,"(Intercept)+ann_def_mm_norm+Fire_intervalShort+Unburned_dist_m:Fire_intervalShort"
-7.47664111686846,12,0.720987149714638,"(Intercept)+ann_def_mm_norm+Fire_intervalShort+ann_def_mm_norm:Fire_intervalShort"
-7.05069073901464,6,1.14693752756846,"(Intercept)+ann_def_mm_norm+Fire_intervalShort"
-6.46081638064741,16,1.73681188593569,"(Intercept)+ann_def_mm_norm+Fire_intervalShort+Unburned_dist_m:Fire_intervalShort+ann_def_mm_norm:Fire_intervalShort"
-6.06164387935565,17,2.13598438722745,"(Intercept)+ann_def_mm_norm+anom_summer_vpd_zscore+Fire_intervalShort+Unburned_dist_m:Fire_intervalShort"
-5.00407881580817,18,3.19354945077493,"(Intercept)+Unburned_dist_m+ann_def_mm_norm+Fire_intervalShort+Unburned_dist_m:Fire_intervalShort"
-4.89112214176752,19,3.30650612481558,"(Intercept)+ann_def_mm_norm+anom_summer_vpd_zscore+Fire_intervalShort+ann_def_mm_norm:Fire_intervalShort"
-4.75117661387467,20,3.44645165270843,"(Intercept)+ann_def_mm_norm+Fire_intervalShort+Unburned_dist_m:Fire_intervalShort+anom_summer_vpd_zscore:Fire_intervalShort"
-4.59328962390052,7,3.60433864268259,"(Intercept)+anom_summer_vpd_zscore+Fire_intervalShort"
-4.45714422561437,13,3.74048404096873,"(Intercept)+ann_def_mm_norm+anom_summer_vpd_zscore+Fire_intervalShort"
-4.24195133316082,21,3.95567693342229,"(Intercept)+ann_def_mm_norm+anom_summer_vpd_zscore+Fire_intervalShort+Unburned_dist_m:Fire_intervalShort+ann_def_mm_norm:Fire_intervalShort"
-4.19077395825272,22,4.00685430833038,"(Intercept)+ann_def_mm_norm+Fire_intervalShort+Unburned_dist_m:Fire_intervalShort+ann_def_mm_norm:Fire_intervalShort+anom_summer_vpd_zscore:Fire_intervalShort"
-4.12023574640046,8,4.07739252018264,"(Intercept)+Elev_high+Fire_intervalShort"
-3.74098107735408,14,4.45664718922902,"(Intercept)+ann_def_mm_norm+Fire_intervalShort+Elev_high:Fire_intervalShort"
-3.65158676182257,15,4.54604150476053,"(Intercept)+TSF+ann_def_mm_norm+Fire_intervalShort"
-3.45148647289197,1,4.74614179369113,"(Intercept)+Fire_intervalShort"
-3.02779966215849,23,5.16982860442461,"(Intercept)+TSF+ann_def_mm_norm+Fire_intervalShort+Unburned_dist_m:Fire_intervalShort+ann_def_mm_norm:Fire_intervalShort"
-2.65450512298781,24,5.5431231435953,"(Intercept)+Unburned_dist_m+ann_def_mm_norm+Fire_intervalShort+Unburned_dist_m:Fire_intervalShort+ann_def_mm_norm:Fire_intervalShort"
-2.64775902338669,25,5.54986924319641,"(Intercept)+Unburned_dist_m+ann_def_mm_norm+anom_summer_vpd_zscore+Fire_intervalShort+Unburned_dist_m:Fire_intervalShort"
-1.42096667721683,9,6.77666158936627,"(Intercept)+hli+Fire_intervalShort"
-0.892585559497693,10,7.30504270708541,"(Intercept)+Fire_intervalShort+Unburned_dist_m:Fire_intervalShort"
2.18058043276286,2,10.378208699346,"(Intercept)+ann_def_mm_norm"
3.67244266626452,3,11.8700709328476,"(Intercept)+Elev_high:Fire_intervalShort"
3.95509190956224,4,12.1527201761453,"(Intercept)+anom_summer_vpd_zscore"
4.34313869353876,5,12.5407669601219,"(Intercept)+Elev_high"
