"Plot_pair","Plot_code","Fire_interval","conifer_stems_ha","TSF","Elev_high","Elev_m","Unburned_dist_m","tpi","hli","ann_def_mm_norm","anom_summer_vpd_zscore"
"Arrow","Arrow_6300","Short",200,12,0,2310,48,1.5,0.772611079218478,283.003333333333,-0.242782560211774
"Arrow","Arrow_6301","Long",275,12,0,2322,124,1.125,0.768293137287159,283.003333333333,-0.242782560211774
"Astringent","Astringent_8190","Short",25,6,1,2540,125,-0.375,0.747752386998159,283.433333333333,-0.729697791536291
"Astringent","Astringent_8191","Long",100,6,1,2452,27,0.625,0.747242639188772,270.316666666667,-0.735009057959441
"Astringent_Tern_1_2","Astringent_Tern_1_2_long_2","Long",8900,27,1,2495,131,-0.75,0.687394732157045,283.433333333333,-0.729697791536291
"Astringent_Tern_1_2","Astringent_Tern_1_2_short_0","Short",3166.66666666666,27,1,2510,150,-3.25,0.671082060009808,283.433333333333,-0.729697791536291
"Charcoal","Charcoal_7260","Short",475,12,1,2513,10,0.125,0.688606362350492,292.223333333333,-0.389163983596622
"Charcoal","Charcoal_7261","Long",2825,12,1,2536,511,0.375,0.715277509400751,292.223333333333,-0.389163983596622
"Charcoal Bay","Charcoal Bay_998050","Short",75,11,1,2390,406,1.25,0.7153316314463,292.223333333333,-0.389163983596622
"Charcoal Bay","Charcoal Bay_998051","Long",4875,11,1,2371,272,0.125,0.715211837711009,292.223333333333,-0.389163983596622
"Clover_Dewdrop_2_3","Clover_Dewdrop_2_3_long_1","Long",300,9,1,2764,356,4.875,0.605967658751651,244.816666666667,-0.06064622466623
"Clover_Dewdrop_2_3","Clover_Dewdrop_2_3_short_0","Short",566.666666666667,9,1,2769,39,2.125,0.585362830206255,244.816666666667,-0.06064622466623
"Clover_East_1_1","Clover_East_1_1_long_1","Long",5000.00000000001,18,1,2431,81,0,0.58077835938585,294.633333333333,0.464370012059424
"Clover_East_1_1","Clover_East_1_1_short_0","Short",1433.33333333333,18,1,2423,57,3.75,0.595978264564575,289.67,0.463652524924782
"Clover_LeHardy_1_1","Clover_LeHardy_1_1_long_2","Long",3233.33333333333,13,1,2561,235,1.25,0.684260441844194,250.953333333333,-0.579821153575332
"Clover_LeHardy_1_1","Clover_LeHardy_1_1_short_0","Short",5999.99999999999,13,1,2546,30,2.625,0.688952025073235,250.953333333333,-0.579821153575332
"Cygnet","Cygnet_8030","Short",675,12,1,2557,49,0.25,0.708092325060903,262.636666666667,-0.292606584933581
"Cygnet","Cygnet_8031","Long",13800,12,1,2537,9,1.375,0.691248179752022,262.636666666667,-0.292606584933581
"Factory Hill","Factory Hill_7120","Short",225,12,1,2398,295,-0.5,0.820648318350863,280.083333333333,-0.372909772550114
"Factory Hill","Factory Hill_7121","Long",425,12,1,2413,22,0,0.781024698697232,280.083333333333,-0.372909772550114
"Forest Lake","Forest Lake_7210","Short",2975,12,0,2286,104,0.375,0.717319975704201,300.54,-0.38784076416511
"Forest Lake","Forest Lake_7211","Long",12025,12,0,2306,535,0.5,0.717154677964228,300.54,-0.38784076416511
"Gallatin","Gallatin_7170","Short",150,12,0,2340,23,0.625,0.733620972707847,286.63,-0.259954670125304
"Gallatin","Gallatin_7171","Long",675,12,0,2335,184,0.75,0.720340984428801,286.63,-0.259954670125304
"Glade_Berry_1_1","Glade_Berry_1_1_long_2","Long",2100,5,0,2157,350,0.25,0.791416553525319,307.233333333333,0.320732896670714
"Glade_Berry_1_1","Glade_Berry_1_1_short_0","Short",2866.66666666667,5,0,2155,28,0,0.764959621787358,303.743333333333,0.324129498838679
"Glade_Berry_4_4","Glade_Berry_4_4_long_2","Long",134100,5,0,2180,450,0.125,0.699682786189748,307.233333333333,0.320732896670714
"Glade_Berry_4_4","Glade_Berry_4_4_short_0","Short",1366.66666666666,5,0,2162,27,0.625,0.657005855828949,303.743333333333,0.324129498838679
"Heart Lake N","Heart Lake N_7110","Short",125,12,0,2294,351,-0.125,0.687178334397565,308.623333333333,-0.383918755928406
"Heart Lake N","Heart Lake N_7111","Long",2250,12,0,2309,89,-0.125,0.696438065974684,269.403333333333,-0.380144759404588
"Hellroaring_Buffalo_3_2","Hellroaring_Buffalo_3_2_long_1","Long",766.666666666666,5,1,2431,117,0.5,0.806040521924463,246.046666666667,0.279738733718313
"Hellroaring_Buffalo_3_2","Hellroaring_Buffalo_3_2_short_0","Short",1333.33333333333,5,1,2444,50,-0.375,0.809466086334293,246.046666666667,0.279738733718313
"Huck_Berry_1_2","Huck_Berry_1_2_long_2","Long",5333.33333333334,5,0,2286,450,3,0.775922847432289,300.783333333333,0.318204709917404
"Huck_Berry_1_2","Huck_Berry_1_2_short_0","Short",2133.33333333334,5,0,2281,147,3.25,0.813499626910626,300.783333333333,0.318204709917404
"Huck_Berry_2_1","Huck_Berry_2_1_long_1","Long",198233.333333333,5,0,2297,250,-0.75,0.803753373377193,300.783333333333,0.318204709917404
"Huck_Berry_2_1","Huck_Berry_2_1_short_0","Short",1400,5,0,2303,450,-0.5,0.876031770388539,300.783333333333,0.318204709917404
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_long_1","Long",10233.3333333333,15,0,1798,550,1.625,0.535342924449562,383.706666666667,0.33289438081888
"IronMountain_Derby_1_1","IronMtn_Derby_1_1_short_0","Short",1366.66666666667,15,0,1830,441,0.25,0.467609405718964,383.706666666667,0.33289438081888
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_long_2","Long",14933.3333333333,15,0,1837,550,0.5,0.525635809094199,383.706666666667,0.33289438081888
"IronMountain_Derby_1_5","IronMtn_Derby_1_5_short_0","Short",1233.33333333333,15,0,1848,391,-0.625,0.558141621750972,383.706666666667,0.33289438081888
"Madison Junct","Madison Junct_8110","Short",14825,12,0,2205,109,0.375,0.71098971810188,294.866666666667,-0.29719671588518
"Madison Junct","Madison Junct_8111","Long",49200,12,0,2207,851,0.5,0.710999185637607,294.866666666667,-0.29719671588518
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_long_1","Long",11466.6666666667,12,0,2135,492,-0.25,0.701080549269061,345.693333333333,0.0620304799912704
"Mystic_BearpawBay_1_1","Mystic_BearpawBay_1_1_short_0","Short",3333.33333333333,12,0,2139,292,-0.125,0.687084728632104,345.693333333333,0.0620304799912704
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_long_3","Long",148000,12,0,2121,500,0,0.709783689422357,345.693333333333,0.0620304799912704
"Mystic_BearpawBay_2_3","Mystic_BearpawBay_2_3_short_0","Short",2066.66666666666,12,0,2129,383,0,0.662709042606133,345.693333333333,0.0620304799912704
"NorthFork_Cygnet_1_1","NFork_Cygnet_1_1_long_3","Long",4733.33333333333,9,1,2516,185,0.25,0.630993503628049,262.636666666667,-0.0568572037074729
"NorthFork_Cygnet_1_1","NFork_Cygnet_1_1_short_0","Short",3433.33333333333,9,1,2516,125,0,0.681659460999261,262.636666666667,-0.0568572037074729
"NorthFork_Cygnet_2_2","NFork_Cygnet_2_2_long_2","Long",7933.33333333333,9,1,2512,178,0.25,0.683931030944995,262.636666666667,-0.0568572037074729
"NorthFork_Cygnet_2_2","NFork_Cygnet_2_2_short_0","Short",5066.66666666667,9,1,2513,40,0.125,0.677938344955147,262.636666666667,-0.0568572037074729
"NorthFork_Maple_4_4","NFork_Maple_4_4_long_1","Long",137233.333333333,5,0,2145,40,0.625,0.616820270055949,347.343333333333,0.346655913765916
