"Plot_pair","Plot_code","Fire_interval","Sample_year","Species","stems_ha","pres"
"Arrow","Arrow_6301","Long",2000,"ABLA",25,1
"Arrow","Arrow_6301","Long",2000,"PIAL",0,0
"Arrow","Arrow_6301","Long",2000,"PICO",250,1
"Arrow","Arrow_6301","Long",2000,"PIEN",0,0
"Arrow","Arrow_6301","Long",2000,"POTR",0,0
"Arrow","Arrow_6301","Long",2000,"PSME",0,0
"Arrow","Arrow_6301","Long",2000,"Total",275,1
"Arrow","Arrow_6300","Short",2000,"ABLA",0,0
"Arrow","Arrow_6300","Short",2000,"PIAL",0,0
"Arrow","Arrow_6300","Short",2000,"PICO",200,1
"Arrow","Arrow_6300","Short",2000,"PIEN",0,0
"Arrow","Arrow_6300","Short",2000,"POTR",0,0
"Arrow","Arrow_6300","Short",2000,"PSME",0,0
"Arrow","Arrow_6300","Short",2000,"Total",200,1
"Astringent","Astringent_8191","Long",2000,"ABLA",0,0
"Astringent","Astringent_8191","Long",2000,"PIAL",0,0
"Astringent","Astringent_8191","Long",2000,"PICO",100,1
"Astringent","Astringent_8191","Long",2000,"PIEN",0,0
"Astringent","Astringent_8191","Long",2000,"POTR",0,0
"Astringent","Astringent_8191","Long",2000,"PSME",0,0
"Astringent","Astringent_8191","Long",2000,"Total",100,1
"Astringent","Astringent_8190","Short",2000,"ABLA",0,0
"Astringent","Astringent_8190","Short",2000,"PIAL",0,0
"Astringent","Astringent_8190","Short",2000,"PICO",25,1
"Astringent","Astringent_8190","Short",2000,"PIEN",0,0
"Astringent","Astringent_8190","Short",2000,"POTR",0,0
"Astringent","Astringent_8190","Short",2000,"PSME",0,0
"Astringent","Astringent_8190","Short",2000,"Total",25,1
"Astringent_Tern_1_2","Astringent_Tern_1_2_long_2","Long",2021,"ABLA",1666.66666666666,1
"Astringent_Tern_1_2","Astringent_Tern_1_2_long_2","Long",2021,"PIAL",633.333333333334,1
"Astringent_Tern_1_2","Astringent_Tern_1_2_long_2","Long",2021,"PICO",6066.66666666667,1
"Astringent_Tern_1_2","Astringent_Tern_1_2_long_2","Long",2021,"PIEN",533.333333333333,1
"Astringent_Tern_1_2","Astringent_Tern_1_2_long_2","Long",2021,"POTR",0,0
"Astringent_Tern_1_2","Astringent_Tern_1_2_long_2","Long",2021,"PSME",0,0
"Astringent_Tern_1_2","Astringent_Tern_1_2_long_2","Long",2021,"Total",8900,1
"Astringent_Tern_1_2","Astringent_Tern_1_2_short_0","Short",2021,"ABLA",166.666666666666,1
"Astringent_Tern_1_2","Astringent_Tern_1_2_short_0","Short",2021,"PIAL",0,0
"Astringent_Tern_1_2","Astringent_Tern_1_2_short_0","Short",2021,"PICO",2933.33333333333,1
"Astringent_Tern_1_2","Astringent_Tern_1_2_short_0","Short",2021,"PIEN",66.6666666666667,1
"Astringent_Tern_1_2","Astringent_Tern_1_2_short_0","Short",2021,"POTR",0,0
"Astringent_Tern_1_2","Astringent_Tern_1_2_short_0","Short",2021,"PSME",0,0
"Astringent_Tern_1_2","Astringent_Tern_1_2_short_0","Short",2021,"Total",3166.66666666666,1
"Charcoal","Charcoal_7261","Long",2000,"ABLA",0,0
"Charcoal","Charcoal_7261","Long",2000,"PIAL",0,0
"Charcoal","Charcoal_7261","Long",2000,"PICO",2825,1
"Charcoal","Charcoal_7261","Long",2000,"PIEN",0,0
"Charcoal","Charcoal_7261","Long",2000,"POTR",0,0
"Charcoal","Charcoal_7261","Long",2000,"PSME",0,0
"Charcoal","Charcoal_7261","Long",2000,"Total",2825,1
"Charcoal","Charcoal_7260","Short",2000,"ABLA",0,0
"Charcoal","Charcoal_7260","Short",2000,"PIAL",0,0
"Charcoal","Charcoal_7260","Short",2000,"PICO",475,1
"Charcoal","Charcoal_7260","Short",2000,"PIEN",0,0
"Charcoal","Charcoal_7260","Short",2000,"POTR",0,0
"Charcoal","Charcoal_7260","Short",2000,"PSME",0,0
"Charcoal","Charcoal_7260","Short",2000,"Total",475,1
