"Plot_code","SF","Intersect_begin","Intersect_end","Diam_cm","Class","Position","Multi_intersect"
"Astringent_Tern_1_2_long_2","1",0.87,1.1,15.8,4,"G","N"
"Astringent_Tern_1_2_long_2","1",1.37,1.61,17.5,4,"E","N"
"Astringent_Tern_1_2_long_2","1",1.69,1.8,11.2,4,"E","N"
"Astringent_Tern_1_2_long_2","1",2.05,2.3,23.1,4,"G","N"
"Astringent_Tern_1_2_long_2","1",6.9,7.05,13.5,5,"G","N"
"Astringent_Tern_1_2_long_2","1",7.12,7.25,12.6,4,"G","N"
"Astringent_Tern_1_2_long_2","1",7.84,7.93,8.1,4,"E","N"
"Astringent_Tern_1_2_long_2","1",8.76,8.9,8.6,4,"G","N"
"Astringent_Tern_1_2_long_2","1",9.79,9.92,10.1,3,"G","N"
"Astringent_Tern_1_2_long_2","1",10.77,11,13.2,4,"E","N"
"Astringent_Tern_1_2_long_2","1",11.46,11.55,8.9,4,"G","N"
"Astringent_Tern_1_2_long_2","1",12.75,12.98,20.2,4,"E","N"
"Astringent_Tern_1_2_long_2","1",13.96,14.04,7.6,4,"E","N"
"Astringent_Tern_1_2_long_2","1",14.93,15.08,22.6,4,"E","N"
"Astringent_Tern_1_2_long_2","1",15.89,16.01,12.1,5,"G","N"
"Astringent_Tern_1_2_long_2","1",16.34,16.44,9.4,5,"G","N"
"Astringent_Tern_1_2_long_2","1",17,17.25,16,4,"E","Y"
"Astringent_Tern_1_2_long_2","1",17,NA,24.4,5,"G","Y"
"Astringent_Tern_1_2_long_2","1",17.84,18.01,17.2,3,"G","N"
"Astringent_Tern_1_2_long_2","1",18.02,18.2,16.5,4,"E","N"
"Astringent_Tern_1_2_long_2","1",18.31,18.58,30,4,"E","N"
"Astringent_Tern_1_2_long_2","1",18.59,18.8,18.2,3,"E","N"
"Astringent_Tern_1_2_long_2","2",32.2,32.53,20.5,3,"E","Y"
"Astringent_Tern_1_2_long_2","2",32.2,NA,13.1,4,"G","Y"
"Astringent_Tern_1_2_long_2","2",32.7,33.05,25,4,"G","N"
"Astringent_Tern_1_2_long_2","2",38.71,39.39,50.9,3,"G","N"
"Astringent_Tern_1_2_long_2","2",39.82,40.25,36.9,4,"E","N"
"Astringent_Tern_1_2_long_2","2",41,41.19,15.2,4,"G","N"
"Astringent_Tern_1_2_long_2","2",41.74,42,20,4,"G","N"
"Astringent_Tern_1_2_long_2","2",42.26,42.4,13.5,4,"G","N"
"Astringent_Tern_1_2_long_2","2",48.84,49.06,17.5,5,"G","N"
"Astringent_Tern_1_2_long_2","3",1.79,1.89,8.7,5,"G","N"
"Astringent_Tern_1_2_long_2","3",5.76,5.88,9,3,"G","N"
"Astringent_Tern_1_2_long_2","3",9.11,9.4,28.5,4,"E","N"
"Astringent_Tern_1_2_long_2","3",11.91,12.05,13.9,4,"E","N"
"Astringent_Tern_1_2_long_2","3",12.8,13.35,15,4,"G","Y"
"Astringent_Tern_1_2_long_2","3",12.8,NA,17.9,4,"E","Y"
"Astringent_Tern_1_2_long_2","3",13.57,13.91,23.7,4,"E","N"
"Astringent_Tern_1_2_long_2","3",14.1,14.34,12.4,4,"E","Y"
"Astringent_Tern_1_2_long_2","3",14.1,NA,12.6,5,"G","Y"
"Astringent_Tern_1_2_long_2","3",16.71,16.82,8.1,3,"E","N"
"Astringent_Tern_1_2_long_2","3",17.46,17.95,20.7,4,"E","N"
