Plot_code,Fire_interval,SF1_azimuth,Easting,Northing,Aspect_deg,Slope_deg,Elev_m,Unburned_dist_m,Unburned_slope_deg,Seed_source_dist_m,Seed_source_slope_deg,Unburned_dist_est_m,Notes
Mystic_BearpawBay_1_1_short_0,Short,5,525262,4851708,42,4.8,2139,292,3.9,105,1.7,292,NA
Mystic_BearpawBay_1_1_long_1,Long,5,525211,4851566,52,4.4,2135,492,1.9,492,1.9,492,NA
Wilcox_Berry_1_1_short_0,Short,NA,521975,4870024,341,7,2124,NA,NA,98,0.9,700,"Unburned edge too far to sight with rangefinder, upslope from plot; estimated from aerial imagery, dnbr6, and location of unburned edge identified while sampling plot in the field"
Wilcox_Berry_1_1_long_2,Long,NA,521571,4869803,344,12.6,2147,NA,NA,75,6,800,"Unburned edge too far to sight with rangefinder, upslope from plot. Count includes 1 surviving ABLA tree not killed by most recent fire (Tree_prefire); estimated from aerial imagery, dnbr6, and location of unburned edge identified in field"
Waterfalls_Moran_1_1_short_0,Short,40,522803,4859209,110,6.4,2089,283,-3.1,283,-3.1,283,NA
Waterfalls_Moran_1_1_long_3,Long,20,522249,4859044,96,6.4,2090,588,6.1,55,-3.1,588,NA
Glade_Berry_1_1_short_0,Short,25,521825,4881184,256,6,2155,28,1.6,28,1.6,28,NA
Glade_Berry_1_1_long_2,Long,40,521994,4880897,218,5.8,2157,NA,NA,NA,NA,350,"Unburned edge not visible; estimated from aerial imagery, dnbr6"
Glade_Berry_4_4_short_0,Short,30,522058,4881375,340,5.1,2162,27,-5.1,27,-5.1,27,"PICO trees include unburned survivors (coded as Tree_prefire), PICO saplings include 2 unburned survivors (coded as Sapling_prefire)"
Glade_Berry_4_4_long_2,Long,20,522354,4881036,324,2.2,2180,NA,NA,NA,NA,450,"Unburned edge not visible; estimated from aerial imagery, dnbr6"
Huck_Berry_2_1_short_0,Short,40,525246,4877474,232,14.4,2303,NA,NA,NA,NA,450,"Unburned edge too far to sight with rangefinder; estimated from aerial imagery, dnbr6, and location of unburned edge identified while sampling plot in the field"
Huck_Berry_2_1_long_1,Long,30,525166,4877071,262,16,2297,NA,NA,NA,NA,250,"Unburned edge too far to sight with rangefinder; estimated from aerial imagery, dnbr6, and location of unburned edge identified while sampling plot in the field"
Huck_Berry_1_2_short_0,Short,20,524602,4877733,98,19.7,2281,147,-13.6,147,-13.7,147,NA
Huck_Berry_1_2_long_2,Long,25,524368,4877299,90,22.2,2286,NA,NA,NA,NA,450,"Unburned edge too far to sight with rangefinder; estimated from aerial imagery, dnbr6, and location of unburned edge identified while sampling plot in the field"
Mystic_BearpawBay_2_3_short_0,Short,0,524542,4852129,37,6.9,2129,383,0.4,268,0,383,NA
Mystic_BearpawBay_2_3_long_3,Long,15,524842,4851650,28,1.2,2121,NA,NA,180,2.5,500,"Unburned edge too far to sight with rangefinder; estimated from aerial imagery, dnbr6, and location of unburned edge identified while sampling plot in the field"
