"Plot_code","SF","Nbr","Litter_cm","Duff_cm"
"Waterfalls_Moran_1_1_short_0","1","1",0,0
"Waterfalls_Moran_1_1_short_0","1","2",0,0
"Waterfalls_Moran_1_1_short_0","1","3",0,0
"Waterfalls_Moran_1_1_short_0","2","1",5,2
"Waterfalls_Moran_1_1_short_0","2","2",5,4
"Waterfalls_Moran_1_1_short_0","2","3",5,4
"Waterfalls_Moran_1_1_short_0","3","1",2.4,4
"Waterfalls_Moran_1_1_short_0","3","2",0.2,0.1
"Waterfalls_Moran_1_1_short_0","3","3",1.8,0.7
"Waterfalls_Moran_1_1_short_0","4","1",0.7,4.2
"Waterfalls_Moran_1_1_short_0","4","2",1.8,4.5
"Waterfalls_Moran_1_1_short_0","4","3",5,0.5
"Waterfalls_Moran_1_1_short_0","5","1",0.5,1.6
"Waterfalls_Moran_1_1_short_0","5","2",1.4,3.5
"Waterfalls_Moran_1_1_short_0","5","3",5.3,2.2
"Waterfalls_Moran_1_1_long_3","1","1",0.5,3.8
"Waterfalls_Moran_1_1_long_3","1","2",0,3.4
"Waterfalls_Moran_1_1_long_3","1","3",2.8,5.4
"Waterfalls_Moran_1_1_long_3","2","1",19,1
"Waterfalls_Moran_1_1_long_3","2","2",3,6
"Waterfalls_Moran_1_1_long_3","2","3",2.7,4.4
"Waterfalls_Moran_1_1_long_3","3","1",1.2,7.2
"Waterfalls_Moran_1_1_long_3","3","2",5.5,6.1
"Waterfalls_Moran_1_1_long_3","3","3",1.1,2.5
"Waterfalls_Moran_1_1_long_3","4","1",1.5,1.5
"Waterfalls_Moran_1_1_long_3","4","2",2.1,0
"Waterfalls_Moran_1_1_long_3","4","3",0.2,0
"Waterfalls_Moran_1_1_long_3","5","1",5.2,4.5
"Waterfalls_Moran_1_1_long_3","5","2",1.5,2.2
"Waterfalls_Moran_1_1_long_3","5","3",2.1,1
"Glade_Berry_1_1_short_0","1","1",0,0
"Glade_Berry_1_1_short_0","1","2",0,0
"Glade_Berry_1_1_short_0","1","3",0.7,0
"Glade_Berry_1_1_short_0","2","1",0,0
"Glade_Berry_1_1_short_0","2","2",0,0
"Glade_Berry_1_1_short_0","2","3",0,0
"Glade_Berry_1_1_short_0","3","1",0,0
"Glade_Berry_1_1_short_0","3","2",0,0
"Glade_Berry_1_1_short_0","3","3",0,0
"Glade_Berry_1_1_short_0","4","1",0,0
"Glade_Berry_1_1_short_0","4","2",0,0
"Glade_Berry_1_1_short_0","4","3",1.2,0
"Glade_Berry_1_1_short_0","5","1",0,0
"Glade_Berry_1_1_short_0","5","2",0,0
"Glade_Berry_1_1_short_0","5","3",0,0
"Glade_Berry_1_1_long_2","1","1",0,0
"Glade_Berry_1_1_long_2","1","2",0,0
"Glade_Berry_1_1_long_2","1","3",0,0
"Glade_Berry_1_1_long_2","2","1",0,0
"Glade_Berry_1_1_long_2","2","2",0,0
"Glade_Berry_1_1_long_2","2","3",0.1,0
"Glade_Berry_1_1_long_2","3","1",0,0
"Glade_Berry_1_1_long_2","3","2",0,0
"Glade_Berry_1_1_long_2","3","3",0,0
"Glade_Berry_1_1_long_2","4","1",0,0
"Glade_Berry_1_1_long_2","4","2",0,0
"Glade_Berry_1_1_long_2","4","3",0,0
"Glade_Berry_1_1_long_2","5","1",0,0
"Glade_Berry_1_1_long_2","5","2",0,0
"Glade_Berry_1_1_long_2","5","3",0,0
"Glade_Berry_4_4_short_0","1","1",0,0
"Glade_Berry_4_4_short_0","1","2",0,0
"Glade_Berry_4_4_short_0","1","3",0,0
"Glade_Berry_4_4_short_0","2","1",0,0
"Glade_Berry_4_4_short_0","2","2",0,0
"Glade_Berry_4_4_short_0","2","3",0,0
"Glade_Berry_4_4_short_0","3","1",0,0
"Glade_Berry_4_4_short_0","3","2",0.1,0
"Glade_Berry_4_4_short_0","3","3",0,0
"Glade_Berry_4_4_short_0","4","1",0,0
"Glade_Berry_4_4_short_0","4","2",0,0
"Glade_Berry_4_4_short_0","4","3",0,0
"Glade_Berry_4_4_short_0","5","1",3.1,0
"Glade_Berry_4_4_short_0","5","2",0,0
"Glade_Berry_4_4_short_0","5","3",0.2,0
"Glade_Berry_4_4_long_2","1","1",0,0
"Glade_Berry_4_4_long_2","1","2",0,0
"Glade_Berry_4_4_long_2","1","3",0.1,0
"Glade_Berry_4_4_long_2","2","1",0,0
"Glade_Berry_4_4_long_2","2","2",0,0
"Glade_Berry_4_4_long_2","2","3",0,0
"Glade_Berry_4_4_long_2","3","1",0,0
"Glade_Berry_4_4_long_2","3","2",0.1,0
"Glade_Berry_4_4_long_2","3","3",0.1,0
"Glade_Berry_4_4_long_2","4","1",0,0
"Glade_Berry_4_4_long_2","4","2",0,0
"Glade_Berry_4_4_long_2","4","3",0,0
"Glade_Berry_4_4_long_2","5","1",0,0
"Glade_Berry_4_4_long_2","5","2",0,0
"Glade_Berry_4_4_long_2","5","3",0,0
"Huck_Berry_2_1_short_0","1","1",0.5,4
"Huck_Berry_2_1_short_0","1","2",0.3,5.5
"Huck_Berry_2_1_short_0","1","3",0.5,2
"Huck_Berry_2_1_short_0","2","1",0,2.2
"Huck_Berry_2_1_short_0","2","2",0,3.4
"Huck_Berry_2_1_short_0","2","3",0,1.9
"Huck_Berry_2_1_short_0","3","1",1.9,4.2
"Huck_Berry_2_1_short_0","3","2",1,1.4
"Huck_Berry_2_1_short_0","3","3",0,2.2
"Huck_Berry_2_1_short_0","4","1",0,2.4
"Huck_Berry_2_1_short_0","4","2",0.8,3.8
"Huck_Berry_2_1_short_0","4","3",0.4,5.7
"Huck_Berry_2_1_short_0","5","1",0.5,5.2
"Huck_Berry_2_1_short_0","5","2",1.3,4.1
"Huck_Berry_2_1_short_0","5","3",0.9,0.8
"Huck_Berry_2_1_long_1","1","1",0,0
"Huck_Berry_2_1_long_1","1","2",0,0
"Huck_Berry_2_1_long_1","1","3",0.3,1
"Huck_Berry_2_1_long_1","2","1",0,0
"Huck_Berry_2_1_long_1","2","2",0,0.9
"Huck_Berry_2_1_long_1","2","3",0,1.8
"Huck_Berry_2_1_long_1","3","1",0.9,1.4
"Huck_Berry_2_1_long_1","3","2",0.8,1.9
"Huck_Berry_2_1_long_1","3","3",0.2,1
"Huck_Berry_2_1_long_1","4","1",1.6,0
"Huck_Berry_2_1_long_1","4","2",0,0
"Huck_Berry_2_1_long_1","4","3",0.7,2.4
"Huck_Berry_2_1_long_1","5","1",4.7,0.2
"Huck_Berry_2_1_long_1","5","2",2.4,0
"Huck_Berry_2_1_long_1","5","3",0,0
"Huck_Berry_1_2_short_0","1","1",1.9,1.8
"Huck_Berry_1_2_short_0","1","2",2.7,4.8
"Huck_Berry_1_2_short_0","1","3",4.9,5.3
"Huck_Berry_1_2_short_0","2","1",0.5,1.6
