"Plot_code","Species","Cover_pct","Height_wtavg_m"
"Astringent_Tern_1_2_long_2","LOUT",0.4,0.5
"Astringent_Tern_1_2_long_2","VASC",9.4,0.149787234042553
"Astringent_Tern_1_2_short_0","VAGL",0.16,0.15
"Astringent_Tern_1_2_short_0","VASC",1.72,0.111627906976744
"Clover_Dewdrop_2_3_long_1","VASC",7.6,0.113684210526316
"Clover_Dewdrop_2_3_short_0","VASC",3.4,0.1
"Clover_East_1_1_long_1","RILA",2.6,0.8
"Clover_East_1_1_long_1","VASC",0.72,0.1
"Clover_East_1_1_short_0","SPBE",0,NA
"Clover_LeHardy_1_1_long_2","VASC",3.84,0.1
"Clover_LeHardy_1_1_short_0","VASC",2.6,0.1
"Glade_Berry_1_1_long_2","SPBE",10.8,0.282888888888889
"Glade_Berry_1_1_short_0","LOUT",2,0.2
"Glade_Berry_1_1_short_0","SPBE",7.04,0.17289156626506
"Glade_Berry_1_1_short_0","VASC",1.96,0.1
"Glade_Berry_4_4_long_2","LOUT",0.6,0.55
"Glade_Berry_4_4_long_2","SALE",0.28,0.242857142857143
"Glade_Berry_4_4_long_2","SASC",0.08,0.27
"Glade_Berry_4_4_long_2","SHCA",0.08,0.48
"Glade_Berry_4_4_long_2","SPBE",11,0.282981818181818
"Glade_Berry_4_4_long_2","VASC",5.44,0.0972794117647059
"Glade_Berry_4_4_short_0","SPBE",0,NA
"Hellroaring_Buffalo_3_2_long_1","RIVI",0.48,0.290909090909091
"Hellroaring_Buffalo_3_2_long_1","SPBE",4.52,0.19646017699115
"Hellroaring_Buffalo_3_2_long_1","VASC",0.16,0.2
"Hellroaring_Buffalo_3_2_short_0","SPBE",19.4,0.179670103092784
"Hellroaring_Buffalo_3_2_short_0","VASC",1.96,0.1
"IronMtn_Derby_1_1_long_1","MARE",0.8,0.1
"IronMtn_Derby_1_1_long_1","ROWO",0.08,0.1
"IronMtn_Derby_1_1_long_1","SPBE",17.52,0.239771689497717
"IronMtn_Derby_1_1_long_1","SYAL",2.04,0.268627450980392
"IronMtn_Derby_1_1_long_1","VAME",1.2,0.166666666666667
"IronMtn_Derby_1_1_short_0","LOUT",0.4,0.1
"IronMtn_Derby_1_1_short_0","MARE",0.44,0.1
"IronMtn_Derby_1_1_short_0","ROWO",4.08,0.131078431372549
"IronMtn_Derby_1_1_short_0","SPBE",10.56,0.132045454545455
"IronMtn_Derby_1_1_short_0","VAME",7.12,0.112921348314607
"IronMtn_Derby_1_5_long_2","MARE",2,0.149
"IronMtn_Derby_1_5_long_2","RIVI",1.2,0.7
"IronMtn_Derby_1_5_long_2","ROWO",1.52,0.260526315789474
"IronMtn_Derby_1_5_long_2","SPBE",21.68,0.226014760147601
"IronMtn_Derby_1_5_long_2","SYAL",1.16,0.441379310344828
"IronMtn_Derby_1_5_long_2","VAME",0.64,0.21875
"IronMtn_Derby_1_5_short_0","MARE",0.28,0.128571428571429
"IronMtn_Derby_1_5_short_0","RIVI",2.2,0.6
"IronMtn_Derby_1_5_short_0","ROWO",2.24,0.144821428571429
"IronMtn_Derby_1_5_short_0","SPBE",17.12,0.196542056074766
"IronMtn_Derby_1_5_short_0","SYAL",0.88,0.147272727272727
"IronMtn_Derby_1_5_short_0","VAME",1.76,0.2
"Mystic_BearpawBay_1_1_long_1","AMAL",0.4,NA
"Mystic_BearpawBay_1_1_long_1","CEVE",0.2,0.2
"Mystic_BearpawBay_1_1_long_1","LOUT",1.4,0.3
"Mystic_BearpawBay_1_1_long_1","MARE",0.84,0.133333333333333
"Mystic_BearpawBay_1_1_long_1","SPBE",1.8,0.117777777777778
"Mystic_BearpawBay_1_1_long_1","VASC",0.12,0.2
"Mystic_BearpawBay_1_1_short_0","CEVE",0.04,0.1
"Mystic_BearpawBay_1_1_short_0","MARE",0.2,0.1
"Mystic_BearpawBay_2_3_long_3","LOUT",0.84,0.271428571428571
