"Plot_code","SF","Fuel_type","Count"
"Waterfalls_Moran_1_1_short_0","1","1h",2
"Waterfalls_Moran_1_1_short_0","1","10h",1
"Waterfalls_Moran_1_1_short_0","1","100h",1
"Waterfalls_Moran_1_1_short_0","2","1h",10
"Waterfalls_Moran_1_1_short_0","2","10h",1
"Waterfalls_Moran_1_1_short_0","2","100h",0
"Waterfalls_Moran_1_1_short_0","3","1h",0
"Waterfalls_Moran_1_1_short_0","3","10h",3
"Waterfalls_Moran_1_1_short_0","3","100h",4
"Waterfalls_Moran_1_1_short_0","4","1h",0
"Waterfalls_Moran_1_1_short_0","4","10h",0
"Waterfalls_Moran_1_1_short_0","4","100h",3
"Waterfalls_Moran_1_1_short_0","5","1h",0
"Waterfalls_Moran_1_1_short_0","5","10h",0
"Waterfalls_Moran_1_1_short_0","5","100h",0
"Waterfalls_Moran_1_1_long_3","1","1h",9
"Waterfalls_Moran_1_1_long_3","1","10h",19
"Waterfalls_Moran_1_1_long_3","1","100h",3
"Waterfalls_Moran_1_1_long_3","2","1h",21
"Waterfalls_Moran_1_1_long_3","2","10h",21
"Waterfalls_Moran_1_1_long_3","2","100h",8
"Waterfalls_Moran_1_1_long_3","3","1h",2
"Waterfalls_Moran_1_1_long_3","3","10h",5
"Waterfalls_Moran_1_1_long_3","3","100h",26
"Waterfalls_Moran_1_1_long_3","4","1h",0
"Waterfalls_Moran_1_1_long_3","4","10h",0
"Waterfalls_Moran_1_1_long_3","4","100h",2
"Waterfalls_Moran_1_1_long_3","5","1h",0
"Waterfalls_Moran_1_1_long_3","5","10h",15
"Waterfalls_Moran_1_1_long_3","5","100h",21
"Glade_Berry_1_1_short_0","1","1h",16
"Glade_Berry_1_1_short_0","1","10h",3
"Glade_Berry_1_1_short_0","1","100h",3
"Glade_Berry_1_1_short_0","2","1h",0
"Glade_Berry_1_1_short_0","2","10h",0
"Glade_Berry_1_1_short_0","2","100h",2
"Glade_Berry_1_1_short_0","3","1h",1
"Glade_Berry_1_1_short_0","3","10h",1
"Glade_Berry_1_1_short_0","3","100h",1
"Glade_Berry_1_1_short_0","4","1h",5
"Glade_Berry_1_1_short_0","4","10h",1
"Glade_Berry_1_1_short_0","4","100h",4
"Glade_Berry_1_1_short_0","5","1h",0
"Glade_Berry_1_1_short_0","5","10h",0
"Glade_Berry_1_1_short_0","5","100h",2
"Glade_Berry_1_1_long_2","1","1h",2
"Glade_Berry_1_1_long_2","1","10h",0
"Glade_Berry_1_1_long_2","1","100h",5
"Glade_Berry_1_1_long_2","2","1h",0
"Glade_Berry_1_1_long_2","2","10h",1
"Glade_Berry_1_1_long_2","2","100h",1
"Glade_Berry_1_1_long_2","3","1h",0
"Glade_Berry_1_1_long_2","3","10h",1
"Glade_Berry_1_1_long_2","3","100h",4
"Glade_Berry_1_1_long_2","4","1h",0
"Glade_Berry_1_1_long_2","4","10h",0
"Glade_Berry_1_1_long_2","4","100h",1
"Glade_Berry_1_1_long_2","5","1h",1
"Glade_Berry_1_1_long_2","5","10h",0
"Glade_Berry_1_1_long_2","5","100h",4
"Glade_Berry_4_4_short_0","1","1h",0
"Glade_Berry_4_4_short_0","1","10h",1
"Glade_Berry_4_4_short_0","1","100h",1
"Glade_Berry_4_4_short_0","2","1h",9
"Glade_Berry_4_4_short_0","2","10h",4
"Glade_Berry_4_4_short_0","2","100h",3
"Glade_Berry_4_4_short_0","3","1h",5
"Glade_Berry_4_4_short_0","3","10h",4
"Glade_Berry_4_4_short_0","3","100h",4
"Glade_Berry_4_4_short_0","4","1h",0
"Glade_Berry_4_4_short_0","4","10h",4
"Glade_Berry_4_4_short_0","4","100h",5
"Glade_Berry_4_4_short_0","5","1h",1
"Glade_Berry_4_4_short_0","5","10h",1
"Glade_Berry_4_4_short_0","5","100h",2
"Glade_Berry_4_4_long_2","1","1h",1
"Glade_Berry_4_4_long_2","1","10h",1
"Glade_Berry_4_4_long_2","1","100h",2
"Glade_Berry_4_4_long_2","2","1h",2
"Glade_Berry_4_4_long_2","2","10h",0
"Glade_Berry_4_4_long_2","2","100h",1
"Glade_Berry_4_4_long_2","3","1h",3
"Glade_Berry_4_4_long_2","3","10h",7
"Glade_Berry_4_4_long_2","3","100h",3
"Glade_Berry_4_4_long_2","4","1h",0
"Glade_Berry_4_4_long_2","4","10h",0
"Glade_Berry_4_4_long_2","4","100h",2
"Glade_Berry_4_4_long_2","5","1h",1
"Glade_Berry_4_4_long_2","5","10h",0
"Glade_Berry_4_4_long_2","5","100h",0
"Huck_Berry_2_1_short_0","1","1h",12
"Huck_Berry_2_1_short_0","1","10h",4
"Huck_Berry_2_1_short_0","1","100h",7
"Huck_Berry_2_1_short_0","2","1h",22
"Huck_Berry_2_1_short_0","2","10h",7
"Huck_Berry_2_1_short_0","2","100h",6
"Huck_Berry_2_1_short_0","3","1h",0
"Huck_Berry_2_1_short_0","3","10h",2
"Huck_Berry_2_1_short_0","3","100h",12
"Huck_Berry_2_1_short_0","4","1h",0
"Huck_Berry_2_1_short_0","4","10h",1
"Huck_Berry_2_1_short_0","4","100h",5
"Huck_Berry_2_1_short_0","5","1h",6
"Huck_Berry_2_1_short_0","5","10h",2
"Huck_Berry_2_1_short_0","5","100h",6
"Huck_Berry_2_1_long_1","1","1h",12
"Huck_Berry_2_1_long_1","1","10h",0
"Huck_Berry_2_1_long_1","1","100h",3
"Huck_Berry_2_1_long_1","2","1h",4
"Huck_Berry_2_1_long_1","2","10h",1
"Huck_Berry_2_1_long_1","2","100h",1
"Huck_Berry_2_1_long_1","3","1h",8
"Huck_Berry_2_1_long_1","3","10h",2
"Huck_Berry_2_1_long_1","3","100h",3
"Huck_Berry_2_1_long_1","4","1h",6
"Huck_Berry_2_1_long_1","4","10h",5
"Huck_Berry_2_1_long_1","4","100h",1
"Huck_Berry_2_1_long_1","5","1h",6
"Huck_Berry_2_1_long_1","5","10h",2
"Huck_Berry_2_1_long_1","5","100h",1
"Huck_Berry_1_2_short_0","1","1h",19
"Huck_Berry_1_2_short_0","1","10h",5
"Huck_Berry_1_2_short_0","1","100h",6
"Huck_Berry_1_2_short_0","2","1h",4
"Huck_Berry_1_2_short_0","2","10h",3
"Huck_Berry_1_2_short_0","2","100h",5
"Huck_Berry_1_2_short_0","3","1h",23
"Huck_Berry_1_2_short_0","3","10h",12
"Huck_Berry_1_2_short_0","3","100h",6
"Huck_Berry_1_2_short_0","4","1h",3
"Huck_Berry_1_2_short_0","4","10h",1
"Huck_Berry_1_2_short_0","4","100h",3
"Huck_Berry_1_2_short_0","5","1h",0
"Huck_Berry_1_2_short_0","5","10h",0
"Huck_Berry_1_2_short_0","5","100h",2
"Huck_Berry_1_2_long_2","1","1h",14
"Huck_Berry_1_2_long_2","1","10h",1
"Huck_Berry_1_2_long_2","1","100h",0
"Huck_Berry_1_2_long_2","2","1h",2
