"Plot_code","Fire_interval","X","Y"
"Mystic_BearpawBay_1_1_short_0","Short",-110.685869418308,43.8180110543617
"Mystic_BearpawBay_1_1_long_1","Long",-110.686510278126,43.816734275449
"Wilcox_Berry_1_1_short_0","Short",-110.725987175834,43.9830253719038
"Wilcox_Berry_1_1_long_2","Long",-110.731033700154,43.9810475812206
"Waterfalls_Moran_1_1_short_0","Short",-110.716126300056,43.8856272636843
"Waterfalls_Moran_1_1_long_3","Long",-110.723029828072,43.884158595605
"Glade_Berry_1_1_short_0","Short",-110.727397352044,44.0835072864324
"Glade_Berry_1_1_long_2","Long",-110.725298457625,44.0809182902631
"Glade_Berry_4_4_short_0","Short",-110.724479144275,44.0852199305969
"Glade_Berry_4_4_long_2","Long",-110.720796282214,44.0821588462198
"Huck_Berry_2_1_short_0","Short",-110.684845615892,44.0499952224418
"Huck_Berry_2_1_long_1","Long",-110.685863445065,44.0463696435955
"Huck_Berry_1_2_short_0","Short",-110.692872720277,44.0523489687306
"Huck_Berry_1_2_long_2","Long",-110.695813895924,44.0484493502574
"Mystic_BearpawBay_2_3_short_0","Short",-110.69480311515,43.8218258556853
"Mystic_BearpawBay_2_3_long_3","Long",-110.691094695215,43.8175030772026
"NFork_Maple_4_4_short_0","Short",-110.961014954694,44.6738405727939
"NFork_Maple_4_4_long_1","Long",-110.962617015038,44.6742102085811
"NFork_Maple_6_6_short_0","Short",-110.976003173828,44.6743398398453
"NFork_Maple_6_6_long_1","Long",-110.968938786435,44.6726096678094
"Pelican_LeHardy_1_5_short_0","Short",-110.326937838251,44.5928039767413
"Pelican_LeHardy_1_5_long_1","Long",-110.329463122526,44.5934220027562
"NFork_Cygnet_1_1_short_0","Short",-110.596326570006,44.7004201657107
"NFork_Cygnet_1_1_long_3","Long",-110.600570960003,44.6999399570089
"NFork_Cygnet_2_2_short_0","Short",-110.602429531959,44.6957963344245
"NFork_Cygnet_2_2_long_2","Long",-110.602813274766,44.6968959630634
"NFork_Owl_2_1_short_0","Short",-111.011958523201,45.0313764035334
"NFork_Owl_2_1_long_1","Long",-111.013735781138,45.0313041885899
"Clover_LeHardy_1_1_short_0","Short",-110.294333885643,44.6654554417571
"Clover_LeHardy_1_1_long_2","Long",-110.294391274249,44.6638443580092
"Clover_Dewdrop_2_3_short_0","Short",-110.293332010538,44.6959944704959
"Clover_Dewdrop_2_3_long_1","Long",-110.299732606713,44.6927210126333
"Astringent_Tern_1_2_short_0","Short",-110.241096317899,44.6202727171598
"Astringent_Tern_1_2_long_2","Long",-110.237469248132,44.6209957661092
"Clover_East_1_1_short_0","Short",-110.264407553757,44.5439753647213
"Clover_East_1_1_long_1","Long",-110.267915524159,44.541297113448
"Rathbone_BaconRind_1_5_short_0","Short",-111.060690687818,44.944141044289
"Rathbone_BaconRind_1_5_long_1","Long",-111.073031941579,44.9503812145128
"Hellroaring_Buffalo_3_2_short_0","Short",-110.336191126731,44.9684507884488
"Hellroaring_Buffalo_3_2_long_1","Long",-110.339639219208,44.9619173370599
"IronMtn_Derby_1_1_short_0","Short",-109.923878556453,45.5683843829239
"IronMtn_Derby_1_1_long_1","Long",-109.923481878555,45.5696947991604
"IronMtn_Derby_1_5_short_0","Short",-109.926712794599,45.5682760338508
"IronMtn_Derby_1_5_long_2","Long",-109.927988412296,45.5692601269428
"WestYell_6290","Short",-111.083337990144,44.7043440243019
"WestYell_6291","Long",-111.075357192952,44.7020539578418
"Arrow_6300","Short",-110.750033593626,44.7988142862759
"Arrow_6301","Long",-110.751951378698,44.7968109667363
"Heart Lake N_7110","Short",-110.484722774914,44.2844864565349
"Heart Lake N_7111","Long",-110.501873018308,44.2912788035336
"Factory Hill_7120","Short",-110.518372530385,44.3137490829832
"Factory Hill_7121","Long",-110.520540828379,44.3092476973887
"Gallatin_7170","Short",-111.004016384115,44.9186723365799
"Gallatin_7171","Long",-111.00152039635,44.918618384748
"Forest Lake_7210","Short",-110.637349222409,44.1680860881655
"Forest Lake_7211","Long",-110.638539394043,44.1800641544668
"Charcoal_7260","Short",-110.365451519239,44.3178545572858
"Charcoal_7261","Long",-110.371213524915,44.3161038283757
"Cygnet_8030","Short",-110.59468853717,44.6801049168894
"Cygnet_8031","Long",-110.594745416189,44.6828058472715
"Madison Junct_8110","Short",-110.843492078463,44.6269450989172
"Madison Junct_8111","Long",-110.84180469129,44.626258582817
"Astringent_8190","Short",-110.244826696709,44.6203244525308
"Astringent_8191","Long",-110.256626586565,44.599443972104
"Charcoal Bay_998050","Short",-110.341337914371,44.3121812123608
"Charcoal Bay_998051","Long",-110.338820441992,44.3208635598589
